MakeModel,Crew,Seats,CruiseSpeed,GPH,FuelType,MTOW,EmptyWeight,Price,Ext1,LTip,LAux,LMain,Center1,Center2,Center3,RMain,RAux,RTip,RExt2,Engines,EnginePrice,ModelId,MaxCargo,
Aermacchi - Lockheed AL-60,0,8,218,35,0,2051,1068,421050.00,0,0,0,0,125,0,0,0,0,0,0,1,44000.00,95,906,
Aero Design AC500C,0,7,203,37,0,2742,1746,326550.00,0,0,0,30,96,0,0,30,0,0,0,2,44000.00,26,919,
Aero Design AC680S,0,7,210,34,0,3175,2005,342300.00,0,0,0,60,103,0,0,60,0,0,0,2,44000.00,25,1093,
Aero Vodochody L-39,0,2,435,200,1,9233,4980,245000.00,0,0,0,200,300,0,0,200,0,0,0,1,160000.00,228,200,
Aeronca Champion,0,2,80,4,0,533,325,19800.00,0,0,0,0,13,0,0,0,0,0,0,1,22000.00,119,131,
Agusta A109,0,8,130,60,1,2722,1930,210000.00,0,0,0,0,91,0,0,0,0,0,0,2,114000.00,71,715,
Agusta Westland AW139,1,17,140,150,1,6400,4400,526500.00,0,0,0,210,0,0,0,210,0,0,0,2,114000.00,326,1846,
Airbus A320,0,150,454,800,1,73500,42220,0.00,0,0,232,1815,2166,790,790,1815,232,0,0,2,210000.00,290,30279,
Airbus A320 (MSFS),0,150,450,800,1,78999,41004,0.00,0,0,200,1800,3000,0,0,1800,200,0,0,2,210000.00,361,36994,
Airbus A321,0,185,477,900,1,92986,48038,0.00,0,0,780,2040,2150,0,0,2040,780,0,0,2,210000.00,285,43947,
Airbus H135 HPG,0,8,137,64,1,3100,1670,248352.00,0,0,0,16,156,57,0,15,0,0,0,2,114400.00,353,1353,
Airbus Helicopters H145,0,10,130,51,1,3650,1919,325893.00,0,0,0,123,0,0,0,123,0,0,0,2,114400.00,354,1654,
Airbus Helicopters H145 (HPG),0,10,132,55,1,3650,1919,331893.00,0,0,0,15,207,0,0,17,0,0,0,2,114400.00,386,1654,
Aircreation 582SL,0,2,60,4,0,446,168,31800.00,0,0,0,0,10,0,0,0,0,0,0,1,22000.00,192,100,
Airspeed AS-57 Ambassador,4,47,260,310,0,23864,16062,3220500.00,0,0,0,110,362,362,0,110,0,0,0,2,66000.00,275,7417,
Alenia C-27J Spartan,4,50,300,430,1,30500,14620,3928500.00,0,0,0,1499,2313,0,0,1499,0,0,0,2,143000.00,201,15495,
Alenia C-27J Spartan (IRIS),4,50,300,430,1,30500,14620,3928500.00,0,427,1200,0,0,0,0,0,1200,427,0,2,143000.00,304,15495,
American Champion Scout,0,3,112,8,0,1005,597,25200.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,36,331,
Antonov An-14,0,8,94,23,0,3630,2600,199380.00,0,0,0,52,0,0,0,52,0,0,0,2,66000.00,125,953,
Antonov AN-2,0,13,100,60,0,5500,3330,297000.00,0,0,0,158,0,0,0,158,0,0,0,1,66000.00,116,2093,
Antonov An-24,4,50,260,305,1,21000,13800,3303750.00,0,0,0,733,0,0,0,733,0,0,0,2,143000.00,153,6815,
Antonov An-26 Curl,3,42,237,350,1,20820,13400,2691830.00,0,0,100,500,300,0,0,500,100,0,0,2,143000.00,231,7112,
Antonov An-28,1,20,180,108,1,6500,4123,828600.00,0,90,0,197,0,0,0,197,0,90,0,2,114000.00,169,2223,
Antonov An-32,4,53,300,340,1,27000,16800,4293000.00,0,0,0,920,0,0,0,920,0,0,0,2,143000.00,256,9815,
ATR 42-500,3,42,300,310,1,18600,11250,3364500.00,0,0,0,758,0,0,0,758,0,0,0,2,114400.00,310,7042,
ATR 72-500,6,70,250,200,1,22000,12950,4770000.00,0,0,0,841,0,0,0,841,0,0,0,2,143000.00,154,8511,
Auster J/1 Autocrat,0,3,95,6,0,839,470,79200.00,0,0,0,0,18,0,0,0,0,0,0,1,22000.00,287,292,
Australia GAF N22 Nomad,0,14,160,62,1,4989,2925,558900.00,0,0,53,166,0,0,0,166,53,0,0,2,114000.00,62,1987,
Aviat A-1 Husky,0,3,121,9,0,998,652,26850.00,0,0,0,26,0,0,0,26,0,0,0,1,22000.00,60,269,
Aviat Pitts Special (MSFS),0,2,113,10,0,737,521,55230.00,0,0,0,0,20,15,0,0,0,0,0,1,44000.00,366,139,
Avro Anson MK-1,0,6,155,42,0,3470,2667,232800.00,0,0,35,35,0,0,0,35,35,0,0,2,66000.00,309,726,
Avro Lancaster,7,10,180,204,0,30909,14878,73572.00,480,0,137,480,696,696,0,460,137,0,480,4,44000.00,368,15415,
BAC Jet Provost T5,0,2,350,135,1,4173,2222,68250.00,0,57,0,151,0,0,0,151,0,57,0,1,114000.00,251,200,
BAe 146-100 (Avro RJ70),7,84,420,500,1,38102,23300,9804000.00,0,0,0,750,1500,0,0,750,0,0,0,4,210000.00,270,14186,
BAe Jetstream 32,1,21,250,80,1,8391,4360,1249500.00,0,0,0,242,0,0,0,242,0,0,0,2,114400.00,263,3877,
BAe Jetstream 41,2,31,240,200,1,11000,6415,1818000.00,0,0,0,439,0,0,0,439,0,0,0,2,114400.00,193,4354,
Basler BT-67,3,37,205,150,1,13041,7144,1987500.00,0,390,200,202,0,0,0,202,200,390,0,2,114400.00,274,5589,
Beagle B 206 Basset,0,6,190,32,0,3232,1979,362400.00,0,0,0,97,0,0,0,97,0,0,0,2,44000.00,259,1176,
Beechcraft 17,0,5,170,13,0,1941,1113,237150.00,0,0,23,23,29,0,0,23,23,0,0,1,66000.00,190,751,
Beechcraft 18,0,10,175,45,0,4495,2576,411750.00,0,0,25,76,80,0,0,76,25,0,0,2,66000.00,55,1842,
Beechcraft 1900C,1,21,220,120,1,7579,4422,1032000.00,0,0,93,242,0,0,0,242,93,0,0,2,143000.00,67,3003,
Beechcraft 1900C Freighter,1,2,220,120,1,7983,4045,603000.00,0,0,93,242,0,0,0,242,93,0,0,2,143000.00,68,3784,
Beechcraft 1900D,1,21,230,120,1,7800,4815,1140000.00,0,0,93,242,0,0,0,242,93,0,0,2,143000.00,8,2831,
Beechcraft Baron 58,0,6,192,28,0,2556,1774,258600.00,0,0,0,71,0,0,0,71,0,0,0,2,44000.00,7,705,
Beechcraft Baron 58 - tip tanks (Dreamfleet),0,6,192,28,0,2556,1774,258600.00,0,29,0,71,0,0,0,71,0,29,0,2,44000.00,97,705,
Beechcraft Bonanza A36,0,6,160,12,0,1765,1148,224250.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,44,540,
Beechcraft Bonanza A36 Waiz RTW,0,1,160,12,0,1682,1048,250000.00,0,0,0,85,0,0,0,85,0,0,0,1,44000.00,394,457,
Beechcraft Bonanza F33,0,6,160,12,0,1542,1000,227400.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,31,465,
Beechcraft Bonanza V35,0,6,160,12,0,1548,1000,227400.00,0,0,0,40,0,0,0,40,0,0,0,1,44000.00,29,471,
Beechcraft Debonair,0,4,161,12,0,1360,791,132300.00,0,0,0,37,0,0,0,37,0,0,0,1,44000.00,80,492,
Beechcraft Duchess 76,0,4,154,22,0,1772,1116,161700.00,0,0,0,52,0,0,0,52,0,0,0,2,22000.00,288,579,
Beechcraft Duke B60,0,6,160,40,0,3100,2007,246000.00,0,0,0,116,0,0,0,116,0,0,0,2,44000.00,188,1016,
Beechcraft King Air 200,0,14,245,113,1,5670,3675,837000.00,0,0,80,195,0,0,0,195,80,0,0,2,114000.00,34,1918,
Beechcraft King Air 300,0,15,257,90,1,6363,4009,984900.00,0,0,80,190,0,0,0,190,80,0,0,2,114000.00,160,2277,
Beechcraft King Air 350,0,15,258,88,1,6804,4123,892500.00,0,0,80,190,0,0,0,190,80,0,0,2,114400.00,33,2604,
